"","V1","V2","V3","V4","V5","V6"
"1","type=weaksubj","len=1","word1=abandoned","pos1=adj","stemmed1=n","priorpolarity=negative"
"2","type=weaksubj","len=1","word1=abandonment","pos1=noun","stemmed1=n","priorpolarity=negative"
"3","type=weaksubj","len=1","word1=abandon","pos1=verb","stemmed1=y","priorpolarity=negative"
"4","type=strongsubj","len=1","word1=abase","pos1=verb","stemmed1=y","priorpolarity=negative"
"5","type=strongsubj","len=1","word1=abasement","pos1=anypos","stemmed1=y","priorpolarity=negative"
"6","type=strongsubj","len=1","word1=abash","pos1=verb","stemmed1=y","priorpolarity=negative"
"7","type=weaksubj","len=1","word1=abate","pos1=verb","stemmed1=y","priorpolarity=negative"
"8","type=weaksubj","len=1","word1=abdicate","pos1=verb","stemmed1=y","priorpolarity=negative"
"9","type=strongsubj","len=1","word1=aberration","pos1=adj","stemmed1=n","priorpolarity=negative"
"10","type=strongsubj","len=1","word1=aberration","pos1=noun","stemmed1=n","priorpolarity=negative"
"11","type=strongsubj","len=1","word1=abhor","pos1=anypos","stemmed1=y","priorpolarity=negative"
"12","type=strongsubj","len=1","word1=abhor","pos1=verb","stemmed1=y","priorpolarity=negative"
"13","type=strongsubj","len=1","word1=abhorred","pos1=adj","stemmed1=n","priorpolarity=negative"
"14","type=strongsubj","len=1","word1=abhorrence","pos1=noun","stemmed1=n","priorpolarity=negative"
"15","type=strongsubj","len=1","word1=abhorrent","pos1=adj","stemmed1=n","priorpolarity=negative"
"16","type=strongsubj","len=1","word1=abhorrently","pos1=anypos","stemmed1=n","priorpolarity=negative"
"17","type=strongsubj","len=1","word1=abhors","pos1=adj","stemmed1=n","priorpolarity=negative"
"18","type=strongsubj","len=1","word1=abhors","pos1=noun","stemmed1=n","priorpolarity=negative"
"19","type=strongsubj","len=1","word1=abidance","pos1=adj","stemmed1=n","priorpolarity=positive"
"20","type=strongsubj","len=1","word1=abidance","pos1=noun","stemmed1=n","priorpolarity=positive"
"21","type=strongsubj","len=1","word1=abide","pos1=anypos","stemmed1=y","priorpolarity=positive"
"22","type=strongsubj","len=1","word1=abject","pos1=adj","stemmed1=n","priorpolarity=negative"
"23","type=strongsubj","len=1","word1=abjectly","pos1=adverb","stemmed1=n","priorpolarity=negative"
"24","type=weaksubj","len=1","word1=abjure","pos1=verb","stemmed1=y","priorpolarity=negative"
"25","type=weaksubj","len=1","word1=abilities","pos1=noun","stemmed1=n","priorpolarity=positive"
"26","type=weaksubj","len=1","word1=ability","pos1=noun","stemmed1=n","priorpolarity=positive"
"27","type=weaksubj","len=1","word1=able","pos1=adj","stemmed1=n","priorpolarity=positive"
"28","type=weaksubj","len=1","word1=abnormal","pos1=adj","stemmed1=n","priorpolarity=negative"
"29","type=weaksubj","len=1","word1=abolish","pos1=verb","stemmed1=y","priorpolarity=negative"
"30","type=strongsubj","len=1","word1=abominable","pos1=adj","stemmed1=n","priorpolarity=negative"
"31","type=strongsubj","len=1","word1=abominably","pos1=anypos","stemmed1=n","priorpolarity=negative"
"32","type=strongsubj","len=1","word1=abominate","pos1=verb","stemmed1=y","priorpolarity=negative"
"33","type=strongsubj","len=1","word1=abomination","pos1=noun","stemmed1=n","priorpolarity=negative"
"34","type=weaksubj","len=1","word1=above","pos1=anypos","stemmed1=n","priorpolarity=positive"
"35","type=weaksubj","len=1","word1=above-average","pos1=adj","stemmed1=n","priorpolarity=positive"
"36","type=weaksubj","len=1","word1=abound","pos1=verb","stemmed1=y","priorpolarity=positive"
"37","type=weaksubj","len=1","word1=abrade","pos1=verb","stemmed1=y","priorpolarity=negative"
"38","type=strongsubj","len=1","word1=abrasive","pos1=adj","stemmed1=n","priorpolarity=negative"
"39","type=weaksubj","len=1","word1=abrupt","pos1=adj","stemmed1=n","priorpolarity=negative"
"40","type=strongsubj","len=1","word1=abscond","pos1=verb","stemmed1=y","priorpolarity=negative"
"41","type=weaksubj","len=1","word1=absence","pos1=noun","stemmed1=n","priorpolarity=negative"
"42","type=weaksubj","len=1","word1=absentee","pos1=anypos","stemmed1=y","priorpolarity=negative"
"43","type=strongsubj","len=1","word1=absent-minded","pos1=adj","stemmed1=n","priorpolarity=negative"
"44","type=strongsubj","len=1","word1=absolve","pos1=verb","stemmed1=y","priorpolarity=positive"
"45","type=strongsubj","len=1","word1=absolute","pos1=adj","stemmed1=n","priorpolarity=neutral"
"46","type=strongsubj","len=1","word1=absolutely","pos1=adj","stemmed1=n","priorpolarity=neutral"
"47","type=weaksubj","len=1","word1=absorbed","pos1=verb","stemmed1=n","priorpolarity=neutral"
"48","type=strongsubj","len=1","word1=absurd","pos1=adj","stemmed1=n","priorpolarity=negative"
"49","type=strongsubj","len=1","word1=absurdity","pos1=noun","stemmed1=n","priorpolarity=negative"
